,RUL
3,188
4,187
5,186
6,185
7,184
8,183
9,182
10,181
11,180
12,179
13,178
14,177
15,176
16,175
17,174
18,173
19,172
20,171
21,170
22,169
23,168
24,167
25,166
26,165
27,164
28,163
29,162
30,161
31,160
32,159
33,158
34,157
35,156
36,155
37,154
38,153
39,152
40,151
41,150
42,149
43,148
44,147
45,146
46,145
47,144
48,143
49,142
50,141
51,140
52,139
53,138
54,137
55,136
56,135
57,134
58,133
59,132
60,131
61,130
62,129
63,128
64,127
65,126
66,125
67,124
68,123
69,122
70,121
71,120
72,119
73,118
74,117
75,116
76,115
77,114
78,113
79,112
80,111
81,110
82,109
83,108
84,107
85,106
86,105
87,104
88,103
89,102
90,101
91,100
92,99
93,98
94,97
95,96
96,95
97,94
98,93
99,92
100,91
101,90
102,89
103,88
104,87
105,86
106,85
107,84
108,83
109,82
110,81
111,80
112,79
113,78
114,77
115,76
116,75
117,74
118,73
119,72
120,71
121,70
122,69
123,68
124,67
125,66
126,65
127,64
128,63
129,62
130,61
131,60
132,59
133,58
134,57
135,56
136,55
137,54
138,53
139,52
140,51
141,50
142,49
143,48
144,47
145,46
146,45
147,44
148,43
149,42
150,41
151,40
152,39
153,38
154,37
155,36
156,35
157,34
158,33
159,32
160,31
161,30
162,29
163,28
164,27
165,26
166,25
167,24
168,23
169,22
170,21
171,20
172,19
173,18
174,17
175,16
176,15
177,14
178,13
179,12
180,11
181,10
182,9
183,8
184,7
185,6
186,5
187,4
188,3
189,2
190,1
191,0
195,283
196,282
197,281
198,280
199,279
200,278
201,277
202,276
203,275
204,274
205,273
206,272
207,271
208,270
209,269
210,268
211,267
212,266
213,265
214,264
215,263
216,262
217,261
218,260
219,259
220,258
221,257
222,256
223,255
224,254
225,253
226,252
227,251
228,250
229,249
230,248
231,247
232,246
233,245
234,244
235,243
236,242
237,241
238,240
239,239
240,238
241,237
242,236
243,235
244,234
245,233
246,232
247,231
248,230
249,229
250,228
251,227
252,226
253,225
254,224
255,223
256,222
257,221
258,220
259,219
260,218
261,217
262,216
263,215
264,214
265,213
266,212
267,211
268,210
269,209
270,208
271,207
272,206
273,205
274,204
275,203
276,202
277,201
278,200
279,199
280,198
281,197
282,196
283,195
284,194
285,193
286,192
287,191
288,190
289,189
290,188
291,187
292,186
293,185
294,184
295,183
296,182
297,181
298,180
299,179
300,178
301,177
302,176
303,175
304,174
305,173
306,172
307,171
308,170
309,169
310,168
311,167
312,166
313,165
314,164
315,163
316,162
317,161
318,160
319,159
320,158
321,157
322,156
323,155
324,154
325,153
326,152
327,151
328,150
329,149
330,148
331,147
332,146
333,145
334,144
335,143
336,142
337,141
338,140
339,139
340,138
341,137
342,136
343,135
344,134
345,133
346,132
347,131
348,130
349,129
350,128
351,127
352,126
353,125
354,124
355,123
356,122
357,121
358,120
359,119
360,118
361,117
362,116
363,115
364,114
365,113
366,112
367,111
368,110
369,109
370,108
371,107
372,106
373,105
374,104
375,103
376,102
377,101
378,100
379,99
380,98
381,97
382,96
383,95
384,94
385,93
386,92
387,91
388,90
389,89
390,88
391,87
392,86
393,85
394,84
395,83
396,82
397,81
398,80
399,79
400,78
401,77
402,76
403,75
404,74
405,73
406,72
407,71
408,70
409,69
410,68
411,67
412,66
413,65
414,64
415,63
416,62
417,61
418,60
419,59
420,58
421,57
422,56
423,55
424,54
425,53
426,52
427,51
428,50
429,49
430,48
431,47
432,46
433,45
434,44
435,43
436,42
437,41
438,40
439,39
440,38
441,37
442,36
443,35
444,34
445,33
446,32
447,31
448,30
449,29
450,28
451,27
452,26
453,25
454,24
455,23
456,22
457,21
458,20
459,19
460,18
461,17
462,16
463,15
464,14
465,13
466,12
467,11
468,10
469,9
470,8
471,7
472,6
473,5
474,4
475,3
476,2
477,1
478,0
482,175
483,174
484,173
485,172
486,171
487,170
488,169
489,168
490,167
491,166
492,165
493,164
494,163
495,162
496,161
497,160
498,159
499,158
500,157
501,156
502,155
503,154
504,153
505,152
506,151
507,150
508,149
509,148
510,147
511,146
512,145
513,144
514,143
515,142
516,141
517,140
518,139
519,138
520,137
521,136
522,135
523,134
524,133
525,132
526,131
527,130
528,129
529,128
530,127
531,126
532,125
533,124
534,123
535,122
536,121
537,120
538,119
539,118
540,117
541,116
542,115
543,114
544,113
545,112
546,111
547,110
548,109
549,108
550,107
551,106
552,105
